name,free-women,free-children,free-places,date
Frauenhaus Groß-Gerau,0,0,Keine freien Plätze,2020-11-05
Frauenhaus Bergstraße,0,0,Keine freien Plätze,2020-11-05
Frauenhaus Erbach,0,0,Keine freien Plätze,2020-11-05
Frauenhaus Landkreis Darmstadt-Dieburg,0,0,Keine freien Plätze,2020-11-05
Haus für Frauen in Not  Wiesbaden,0,0,Keine freien Plätze,2020-11-05
AWO Frauenhaus Nurdan-Eker,0,0,Keine freien Plätze,2020-11-05
Haus für Frauen in Not Bad Schwalbach,0,0,Keine freien Plätze,2020-11-05
Frauenhaus Limburg,0,0,Keine freien Plätze,2020-11-05
Frauenhaus Hofheim,0,0,Keine freien Plätze,2020-11-05
Autonomes Frauenhaus Kassel e.V.,0,0,Keine freien Plätze,2020-11-06
Frauenhaus im Landkreis Kassel,0,0,Keine freien Plätze,2020-11-06
Frauenhaus Bad Wildungen,0,0,Keine freien Plätze,2020-11-06
AWO Frauenhaus Schwalm-Eder,0,0,Keine freien Plätze,2020-11-06
Frauenhaus Marburg,0,0,Keine freien Plätze,2020-11-06
Autonomes Frauenhaus Gießen,0,0,Keine freien Plätze,2020-11-06
Frauenhaus Gießen SkF,0,0,Keine freien Plätze,2020-11-06
Frauenhaus Wetzlar,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-11-06
Frauenhaus Fulda,0,0,Keine freien Plätze,2020-11-06
Frauenhaus Bad Hersfeld,0,0,Keine freien Plätze,2020-11-06
Frauenhaus Eschwege,0,0,Keine freien Plätze,2020-11-06
Frauenhaus Frankfurter Verein I Haus für Frauen und Kinder,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-11-06
Autonomes Frauenhaus Frankfurt,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-11-06
Frauenhaus Frankfurter Verein I die kanne,0,0,Keine freien Plätze,2020-11-06
Frauenhaus Wetterau,0,0,Keine freien Plätze,2020-11-06
Frauenhaus „Lotte Lemke“,0,0,Keine freien Plätze,2020-11-06
Frauenhaus Oberursel,0,0,Keine freien Plätze,2020-11-06
Frauen und Kinderhaus Offenbach,0,0,Keine freien Plätze,2020-11-06
Frauenhaus Rodgau,0,0,Keine freien Plätze,2020-11-06
Frauenhaus Hanau,0,0,Keine freien Plätze,2020-11-06
